ref,value
A1,PROMINI
C1,0.33uF
C2,0.1uF
C3,0.1uF
C4,0.1uF
C5,0.1uF
C6,0.1uF
C7,470uF
C8,47uF
C9,1uF
C10,1uF
C11,1uF
C12,1uF
C13,470uF
D1,DIODE
D2,DIODE
D3,DIODE
D4,DIODE
D5,DIODE
D6,DIODE
D7,LED
D8,LED
D9,LED
D10,LED
D11,LED
D12,LED
D13,DIODE
D14,DIODE
D15,DIODE
D16,DIODE
D17,DIODE
D18,DIODE
D19,LED
D20,LED
D21,LED
D22,LED
D23,LED
D24,LED
ELEC1,ELECTRET_MIC_SUP
GS1,GS3
GS2,GS3
J1,JACK_ST_3SW
JP1,JUMPER
JP2,JUMPER
K1,CONN_3
M1,WTV020-SD
P1,CONN_4
P2,CONN_4
P3,CONN_4
P4,CONN_4
P5,CONN_4
P6,CONN_4
P7,CONN_4
P8,CONN_4
P13,DIN_5
Q1,MOSFET_N
Q2,MOSFET_N
Q3,MOSFET_N
Q4,MOSFET_N
Q5,MOSFET_N
Q6,MOSFET_N
Q7,MOSFET_N
Q8,MOSFET_N
Q9,MOSFET_N
Q10,MOSFET_N
Q11,MOSFET_N
Q12,MOSFET_N
R1,1k
R2,1k
R3,1k
R4,1k
R5,1k
R6,1k
R7,1k
R8,1k
R9,1k
R10,1k
R11,1k
R12,1k
R13,4.7k
R14,4.7k
R15,1k
R16,1k
R17,1k
R18,10k
R19,10k
R20,270k
R21,10k
R22,10k
R23,10k
R24,10k
R25,2.2k
R26,10k
REG1,NPC1700
SW1,PUSHBUTTON
SW2,PUSHBUTTON
SW3,PUSHBUTTON
SW4,PUSHBUTTON
SW5,PUSHBUTTON
SW6,PUSHBUTTON
SW7,PUSHBUTTON
SW8,PUSHBUTTON
SW9,PUSHBUTTON
SW10,PUSHBUTTON
SW11,PUSHBUTTON
SW12,PUSHBUTTON
U1,BTM_2
U2,7805
U3,TL072
U4,74HC595
U5,74HC595
